,ibns_20u,vgs_m1,name,type,time,OK
0,19.1089,0.682892,LayGtKttmmTtVt,Lay,Mon Jun 15 16:57:20 2026,True
1,20.596400000000003,0.685075,1,,Mon Jun 15 16:57:20 2026,True
2,20.1004,0.684984,2,,Mon Jun 15 16:57:21 2026,True
3,22.328500000000002,0.689124,3,,Mon Jun 15 16:57:21 2026,True
4,21.333599999999997,0.688067,4,,Mon Jun 15 16:57:22 2026,True
5,20.454,0.686324,5,,Mon Jun 15 16:57:22 2026,True
6,19.8521,0.685902,6,,Mon Jun 15 16:57:23 2026,True
7,20.48,0.684883,7,,Mon Jun 15 16:57:24 2026,True
8,20.8028,0.685398,8,,Mon Jun 15 16:57:24 2026,True
9,20.601499999999998,0.684445,9,,Mon Jun 15 16:57:25 2026,True
10,19.5624,0.683323,10,,Mon Jun 15 16:57:25 2026,True
11,20.2196,0.684971,11,,Mon Jun 15 16:57:26 2026,True
12,19.5849,0.684161,12,,Mon Jun 15 16:57:27 2026,True
13,20.651,0.688364,13,,Mon Jun 15 16:57:27 2026,True
14,20.193299999999997,0.687802,14,,Mon Jun 15 16:57:28 2026,True
15,19.947599999999998,0.684238,15,,Mon Jun 15 16:57:28 2026,True
16,20.0852,0.682672,16,,Mon Jun 15 16:57:29 2026,True
17,20.1691,0.68273,17,,Mon Jun 15 16:57:29 2026,True
18,19.956799999999998,0.683018,18,,Mon Jun 15 16:57:30 2026,True
19,22.3952,0.68988,19,,Mon Jun 15 16:57:31 2026,True
20,19.4943,0.683324,20,,Mon Jun 15 16:57:31 2026,True
21,20.1644,0.685695,21,,Mon Jun 15 16:57:32 2026,True
22,20.5666,0.684851,22,,Mon Jun 15 16:57:32 2026,True
23,20.2951,0.687182,23,,Mon Jun 15 16:57:33 2026,True
24,21.1332,0.68735,24,,Mon Jun 15 16:57:33 2026,True
25,20.3271,0.684316,25,,Mon Jun 15 16:57:34 2026,True
26,19.145400000000002,0.682337,26,,Mon Jun 15 16:57:35 2026,True
27,21.2368,0.687059,27,,Mon Jun 15 16:57:35 2026,True
28,21.078899999999997,0.687292,28,,Mon Jun 15 16:57:36 2026,True
29,19.687800000000003,0.68344,29,,Mon Jun 15 16:57:36 2026,True
